date,time,room,camera102,camera103,camera104,total_occupancy,cleaning,Deep Cleaning
29-03-2022,15:21:44,M1 Saperation Room,0,4,0,4,False,False
29-03-2022,15:29:41,M1 Saperation Room,0,2,1,3,False,False
29-03-2022,15:29:45,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,15:29:47,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,15:29:54,M1 Saperation Room,0,1,1,2,False,False
29-03-2022,15:49:45,M1 Saperation Room,1,3,0,4,False,False
29-03-2022,15:49:54,M1 Saperation Room,1,3,1,5,False,False
29-03-2022,15:49:57,M1 Saperation Room,1,3,1,5,False,False
29-03-2022,15:50:29,M1 Saperation Room,2,3,1,6,False,False
29-03-2022,15:50:50,M1 Saperation Room,1,3,1,5,False,False
29-03-2022,15:53:54,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,15:53:57,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,15:54:02,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,15:54:15,M1 Saperation Room,1,2,0,3,False,False
29-03-2022,15:54:21,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,16:16:26,M1 Saperation Room,0,0,0,0,False,False
29-03-2022,16:16:37,M1 Saperation Room,1,0,0,1,False,False
29-03-2022,16:16:41,M1 Saperation Room,0,1,1,2,False,False
29-03-2022,16:16:46,M1 Saperation Room,0,1,1,2,False,False
29-03-2022,16:16:52,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,16:16:55,M1 Saperation Room,0,0,0,0,False,False
29-03-2022,16:17:01,M1 Saperation Room,2,0,0,2,False,False
29-03-2022,16:17:07,M1 Saperation Room,1,0,0,1,False,False
29-03-2022,16:17:52,M1 Saperation Room,0,0,0,0,False,False
29-03-2022,16:18:12,M1 Saperation Room,0,0,0,0,False,False
29-03-2022,16:18:25,M1 Saperation Room,0,0,0,0,False,False
29-03-2022,16:18:31,M1 Saperation Room,0,0,0,0,False,False
29-03-2022,16:39:05,M1 Saperation Room,2,3,0,5,False,False
29-03-2022,16:39:22,M1 Saperation Room,2,1,0,3,False,False
29-03-2022,16:39:31,M1 Saperation Room,3,1,0,4,False,False
29-03-2022,16:40:00,M1 Saperation Room,3,1,0,4,False,False
29-03-2022,16:40:09,M1 Saperation Room,3,1,0,4,False,False
29-03-2022,17:04:15,M1 Saperation Room,0,1,1,2,False,False
29-03-2022,17:04:29,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:04:44,M1 Saperation Room,2,2,0,4,False,False
29-03-2022,17:05:02,M1 Saperation Room,2,3,1,6,False,False
29-03-2022,17:05:11,M1 Saperation Room,2,3,0,5,False,False
29-03-2022,17:05:15,M1 Saperation Room,2,3,0,5,False,False
29-03-2022,17:05:24,M1 Saperation Room,2,3,0,5,False,False
29-03-2022,17:05:41,M1 Saperation Room,2,3,0,5,False,False
29-03-2022,17:05:43,M1 Saperation Room,2,2,0,4,False,False
29-03-2022,17:05:47,M1 Saperation Room,2,2,0,4,False,False
29-03-2022,17:06:02,M1 Saperation Room,3,3,0,6,False,False
29-03-2022,17:06:24,M1 Saperation Room,1,3,1,5,False,False
29-03-2022,17:06:28,M1 Saperation Room,2,3,0,5,False,False
29-03-2022,17:06:30,M1 Saperation Room,2,3,0,5,False,False
29-03-2022,17:06:33,M1 Saperation Room,2,3,0,5,False,False
29-03-2022,17:06:37,M1 Saperation Room,2,4,0,6,False,False
