date,time,room,camera1,camera2,camera3,total_occupancy,cleaning,Deep Cleaning
29-03-2022,15:21:44,M1 Saperation Room,0,4,0,4,False,False
29-03-2022,15:29:41,M1 Saperation Room,0,2,1,3,False,False
30-03-2022,09:37:01,M2 Purification Room,0,0,,0,False,False
30-03-2022,09:37:02,M1 Saperation Room,1,1,0,2,False,False
30-03-2022,09:37:13,M1 Saperation Room,0,1,0,1,False,False
30-03-2022,09:37:15,M1 Saperation Room,1,1,0,2,False,False
30-03-2022,09:37:31,M1 Saperation Room,1,1,0,2,False,False
30-03-2022,09:37:36,M1 Saperation Room,1,0,0,1,False,False
30-03-2022,09:37:43,M1 Saperation Room,1,1,0,2,False,False
30-03-2022,09:37:49,M1 Saperation Room,1,1,0,2,False,False
30-03-2022,09:37:52,M1 Saperation Room,1,1,0,2,False,False
30-03-2022,09:37:59,M1 Saperation Room,1,0,0,1,False,False
30-03-2022,09:38:04,M1 Saperation Room,1,0,0,1,False,False
30-03-2022,09:38:27,M1 Saperation Room,2,0,0,2,False,False
30-03-2022,09:38:29,M2 Purification Room,1,0,,1,False,False
30-03-2022,09:38:36,M2 Purification Room,0,1,,1,False,True
30-03-2022,09:38:36,M1 Saperation Room,1,0,0,1,False,False
30-03-2022,09:38:40,M1 Saperation Room,1,0,0,1,False,False
30-03-2022,09:38:41,M2 Purification Room,0,2,,2,False,True
30-03-2022,09:38:42,M2 Purification Room,0,1,,1,False,True
30-03-2022,09:38:44,M2 Purification Room,0,0,,0,False,False
30-03-2022,09:38:45,M1 Saperation Room,1,0,1,2,False,False
30-03-2022,09:38:46,M2 Purification Room,0,1,,1,False,True
30-03-2022,09:38:49,M1 Saperation Room,0,0,1,1,False,False
30-03-2022,09:38:49,M2 Purification Room,0,1,,1,False,True
30-03-2022,09:38:54,M1 Saperation Room,1,0,1,2,False,False
30-03-2022,09:38:57,M1 Saperation Room,1,0,0,1,False,False
30-03-2022,09:38:58,M2 Purification Room,1,0,,1,False,False
30-03-2022,09:39:00,M1 Saperation Room,0,0,0,0,False,False
30-03-2022,09:39:02,M2 Purification Room,0,0,,0,False,False
30-03-2022,09:39:11,M1 Saperation Room,1,0,0,1,False,False
30-03-2022,09:39:26,M2 Purification Room,1,0,,1,False,False
30-03-2022,09:39:28,M2 Purification Room,1,1,,2,False,False
30-03-2022,09:39:29,M1 Saperation Room,1,0,0,1,False,False
30-03-2022,09:39:32,M1 Saperation Room,1,0,0,1,False,False
30-03-2022,09:39:33,M2 Purification Room,1,1,,2,False,False
30-03-2022,09:39:34,M1 Saperation Room,1,0,0,1,False,False
30-03-2022,09:39:35,M2 Purification Room,1,1,,2,False,False
30-03-2022,09:39:41,M1 Saperation Room,1,0,0,1,False,False
30-03-2022,09:39:43,M2 Purification Room,1,1,,2,False,False
30-03-2022,09:39:44,M1 Saperation Room,1,0,1,2,False,False
30-03-2022,09:39:49,M2 Purification Room,1,1,,2,False,False
30-03-2022,09:39:52,M1 Saperation Room,2,0,1,3,False,False
30-03-2022,09:39:56,M2 Purification Room,1,1,,2,False,False
30-03-2022,09:39:56,M1 Saperation Room,2,0,0,2,False,False
30-03-2022,09:39:59,M2 Purification Room,1,2,,3,True,False
30-03-2022,09:40:07,M2 Purification Room,1,0,,1,False,False
30-03-2022,09:40:07,M1 Saperation Room,2,0,0,2,False,False
30-03-2022,09:40:10,M2 Purification Room,1,0,,1,False,False
